               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.058492,            0.012079,            0.012192,             0.41444,               0.975,             0.67413,             0.36192,            0.028806,           0.0070406,            0.011718,           0.0088516,           0.0088516,           0.0088516
                  60,            0.058324,             0.01167,            0.012677,             0.41444,               0.975,             0.67413,             0.36192,            0.028806,           0.0070406,            0.011718,           0.0088318,           0.0088318,           0.0088318
                  61,            0.053684,             0.01146,            0.016625,             0.63102,             0.96687,             0.88501,             0.50153,            0.025827,           0.0068004,            0.012733,            0.008812,            0.008812,            0.008812
                  62,            0.051405,            0.013089,            0.011394,             0.71866,                   1,             0.84882,              0.4606,            0.030499,           0.0065927,           0.0077633,           0.0087922,           0.0087922,           0.0087922
                  63,            0.057682,            0.011976,            0.013814,             0.68345,               0.975,             0.82636,             0.44021,            0.034919,           0.0059171,           0.0053955,           0.0087724,           0.0087724,           0.0087724
                  64,            0.050701,            0.013836,            0.012568,             0.68345,               0.975,             0.82636,             0.44021,            0.034919,           0.0059171,           0.0053955,           0.0087526,           0.0087526,           0.0087526
                  65,            0.047705,            0.011943,            0.014785,             0.96308,               0.975,             0.99174,             0.56533,            0.029346,           0.0058881,           0.0049484,           0.0087328,           0.0087328,           0.0087328
                  66,            0.051634,            0.011867,            0.011846,             0.71589,             0.77558,             0.86463,             0.38655,             0.03383,           0.0061764,           0.0051361,            0.008713,            0.008713,            0.008713
                  67,             0.05917,            0.011637,            0.010254,             0.48155,               0.825,             0.67047,             0.21514,            0.037866,           0.0062839,           0.0049278,           0.0086932,           0.0086932,           0.0086932
                  68,            0.060181,            0.010593,           0.0099483,             0.48155,               0.825,             0.67047,             0.21514,            0.037866,           0.0062839,           0.0049278,           0.0086734,           0.0086734,           0.0086734
                  69,            0.050314,            0.013811,            0.011907,             0.57398,             0.87872,             0.71549,             0.31087,            0.031935,           0.0061793,           0.0047746,           0.0086536,           0.0086536,           0.0086536
                  70,            0.047451,            0.010229,           0.0091587,             0.68319,             0.87318,             0.80287,             0.35833,            0.030472,           0.0061576,             0.00461,           0.0086338,           0.0086338,           0.0086338
                  71,            0.049523,            0.012609,            0.013633,             0.82627,               0.925,             0.92676,             0.50165,            0.027017,           0.0061254,           0.0043879,            0.008614,            0.008614,            0.008614
                  72,             0.04432,            0.013669,            0.011588,             0.82627,               0.925,             0.92676,             0.50165,            0.027017,           0.0061254,           0.0043879,           0.0085942,           0.0085942,           0.0085942
                  73,            0.037027,            0.012261,            0.013702,             0.95163,                   1,             0.98905,             0.68706,            0.019379,            0.006143,           0.0044503,           0.0085744,           0.0085744,           0.0085744
                  74,            0.038833,            0.012385,            0.010562,             0.84104,                 0.9,             0.94576,             0.56863,            0.025384,           0.0062537,           0.0043774,           0.0085546,           0.0085546,           0.0085546
                  75,            0.046797,             0.01166,            0.012885,              0.5148,                 0.9,             0.83855,             0.32733,            0.034348,           0.0063427,           0.0043871,           0.0085348,           0.0085348,           0.0085348
                  76,            0.047401,            0.011909,            0.016797,              0.5148,                 0.9,             0.83855,             0.32733,            0.034348,           0.0063427,           0.0043871,            0.008515,            0.008515,            0.008515
                  77,            0.046481,            0.011093,            0.012368,             0.51878,             0.94279,             0.93654,             0.51221,            0.029161,           0.0061484,           0.0064817,           0.0084952,           0.0084952,           0.0084952
                  78,            0.049482,            0.010646,            0.009062,             0.55279,             0.76064,             0.85831,             0.49259,            0.031616,           0.0058225,           0.0061153,           0.0084754,           0.0084754,           0.0084754
